Media Type	Description	Extension
audio/aac	AAC audio	.aac
application/x-abiword	AbiWord document	.abw
image/apng	Animated Portable Network Graphics (APNG)	.apng
application/x-freearc	Archive document (multiple files embedded)	.arc
image/avif	AVIF image	.avif
video/x-msvideo	AVI: Audio Video Interleave	.avi
application/vnd.amazon.ebook	Amazon Kindle eBook format	.azw
application/octet-stream	Any kind of binary data	.bin
image/bmp	Windows OS/2 Bitmap Graphics	.bmp
application/x-bzip	BZip archive	.bz
application/x-bzip2	BZip2 archive	.bz2
application/x-cdf	CD audio	.cda
application/x-csh	C-Shell script	.csh
text/css	Cascading Style Sheets (CSS)	.css
text/csv	Comma-separated values (CSV)	.csv
text/tab-separated-values	Tab-separated values (TSV)	.tsv
application/msword	Microsoft Word	.doc
application/vnd.openxmlformats-officedocument.wordprocessingml.document	Microsoft Word (OpenXML)	.docx
application/vnd.ms-fontobject	MS Embedded OpenType fonts	.eot
application/epub+zip	Electronic publication (EPUB)	.epub
application/gzip	GZip compressed archive	.gz
application/yaml	YAML Ain't Markup Language	.yaml, .yml
image/gif	Graphics Interchange Format (GIF)	.gif
text/html	HyperText Markup Language (HTML)	.htm, .html
image/vnd.microsoft.icon	Icon format	.ico
text/calendar	iCalendar format	.ics
application/java-archive	Java Archive (JAR)	.jar
image/jpeg	JPEG image	.jpg, .jpeg
text/javascript	JavaScript	.js
application/json	JavaScript Object Notation (JSON)	.json
application/ld+json	JSON for Linked Data (JSON-LD)	.jsonld
text/markdown	Markdown	.md, .markdown
audio/midi	Musical Instrument Digital Interface (MIDI)	.mid, .midi
text/javascript	JavaScript module	.mjs
audio/mpeg	MP3 audio	.mp3
video/mp4	MP4 video	.mp4
video/mpeg	MPEG video	.mpeg
application/vnd.apple.installer+xml	Apple Installer Package	.mpkg
application/vnd.oasis.opendocument.presentation	OpenDocument presentation	.odp
application/vnd.oasis.opendocument.spreadsheet	OpenDocument spreadsheet	.ods
application/vnd.oasis.opendocument.text	OpenDocument text	.odt
audio/ogg	Ogg audio	.oga
video/ogg	Ogg video	.ogv
application/ogg	Ogg	.ogx
audio/opus	Opus audio	.opus
font/otf	OpenType font	.otf
image/png	Portable Network Graphics (PNG)	.png
application/pdf	Adobe Portable Document Format (PDF)	.pdf
application/x-httpd-php	Hypertext Preprocessor (PHP)	.php
application/vnd.ms-powerpoint	Microsoft PowerPoint	.ppt
application/vnd.openxmlformats-officedocument.presentationml.presentation	Microsoft PowerPoint (OpenXML)	.pptx
application/vnd.rar	RAR archive	.rar
application/rtf	Rich Text Format (RTF)	.rtf
application/x-sh	Bourne shell script	.sh
image/svg+xml	Scalable Vector Graphics (SVG)	.svg
application/x-tar	Tape Archive (TAR)	.tar
image/tiff	Tagged Image File Format (TIFF)	.tif, .tiff
video/mp2t	MPEG transport stream	.ts
font/ttf	TrueType Font	.ttf
text/plain	Plain text	.txt
application/vnd.visio	Microsoft Visio	.vsd
audio/wav	Waveform Audio Format	.wav
audio/webm	WEBM audio	.weba
